Site_ID,Latitude,Longitude,IGSN,Description,Physiographic_Feature_Name,COMID,RawCOMID_Used,Country,Methods_and_Flags,Submission_Contact_Name,Submission_Contact_Email,Origin_Study_Code
CON2,45.8561,-73.278,10.58052/IEWDR01C3,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CON3,45.8494,-73.2715,10.58052/IEWDR01C2,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
Ct20,46.648153,-121.297706,10.58052/IEPRS00UN,stream,Clear Creek Tributary,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_24423347; Flag_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov,N/A
Ct21,46.649118,-121.299522,10.58052/IEPRS00UO,stream,Clear Creek Tributary,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_24423347; Flag_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov,N/A
CT-BUNN,41.7862,-72.965,10.58052/IEWDR00WP,stream,Bunnell Brook,6109247,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-EBRA,44.6339,-71.8981,10.58052/IEWDR00WQ,stream,East Branch Passumpsic River,4570659,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-FARM,41.9083,-72.7594,10.58052/IEWDR00WR,stream,Farmington River,6109717,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-MOOS,44.5117,-71.8378,10.58052/IEWDR00WS,stream,Moose River,4570675,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-NEPA,41.8207,-72.9701,10.58052/IEWDR00WT,stream,Nepaug River,6109457,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-PASS,44.3656,-72.0393,10.58052/IEWDR00WU,stream,Passumpsic River,4572379,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-PHEL,41.7998,-72.9649,10.58052/IEWDR00WV,stream,Phelps Brook,6109235,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-POPE,44.4761,-72.125,10.58052/IEWDR00WW,stream,Pope Brook,4572347,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-SLPR,44.4353,-72.0389,10.58052/IEWDR00WX,stream,Sleepers River,4572307,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CT-STIL,41.9679,-73.0334,10.58052/IEWDR00WY,stream,Still River,6111419,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
CT-THOM,41.9872,-72.6058,10.58052/IEWDR00WZ,stream,Connecticut River,7700898,FALSE,United States,COMID_Analysis_00; COMID_06; COMID_05; RawCOMID_7699970; Flag_00,James Stegen,james.stegen@pnnl.gov,WROL
CT-UNIO,41.7555,-72.887,10.58052/IEWDR00X0,stream,Farmington River at Unionville,6109643,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
CT-W9,44.4906,-72.1622,10.58052/IEWDR00X1,stream,W-9; Pope Brook Tributary,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_4572347; Flag_00,James Stegen,james.stegen@pnnl.gov,WROL
CULC,29.499388,-98.708709,10.58052/IEWDR022D,stream,Culebra Creek,10835802,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
CUL-LAP,43.82276,-121.797685,10.58052/IEWDR00X2,stream,Cultus River,23700639,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
CW19,45.025,-74.6766,10.58052/IEWDR01BD,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CW20,45.00262,-74.68841,10.58052/IEWDR01BE,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CW21,45.00483,-74.65931,10.58052/IEWDR01BF,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CW22,45.00738,-74.63775,10.58052/IEWDR01BI,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CW23,45.0207,-74.5697,10.58052/IEWDR01BG,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
DES-BFA,43.9305,-121.412,10.58052/IEWDR00X3,stream,Deschutes River at Benham Falls,23700413,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
DES-LAP,43.814019,-121.777208,10.58052/IEWDR00X4,stream,Deschutes River at La Pine,23700583,TRUE,United States,COMID_Analysis_00; COMID_02; COMID_05,James Stegen,james.stegen@pnnl.gov,WROL
DES-MAD,44.742799,-121.229678,10.58052/IEWDR00X5,stream,Deschutes River near Madras,23719673,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
DES-MOO,45.6222,-120.9044,10.58052/IEWDR00X6,stream,Deschutes River near Biggs,23718705,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
DES-WIC,43.686204,-121.687328,10.58052/IEWDR00X7,stream,Deschutes River below Wikiup Reservoir,23700493,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
E020,44.05611111,-122.8277778,10.58052/IEPRS001U,stream,McKenzie River,23772789,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E030,44.07027778,-122.77,10.58052/IEPRS001V,stream,McKenzie River,23772801,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E040,44.125,-122.4694444,10.58052/IEPRS001W,stream,McKenzie River,23772909,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E310,44.070619,-122.884631,10.58052/IEPRS00M7,stream,Camp Creek,23773487,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E360,44.141016,-122.605426,10.58052/IEPRS001X,stream,Hatchery Creek,23774155,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E390,44.146326,-122.572401,10.58052/IEPRS001P,stream,Gate Creek,23773469,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E410,44.133096,-122.483071,10.58052/IEPRS001Q,stream,Bear Creek,23774225,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E430,44.149595,-122.364665,10.58052/IEPRS001R,stream,Elk Creek,23774923,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E431,44.138089,-122.372966,10.58052/IEPRS001Y,stream,Doris Creek,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_23772989; Flag_00,James Stegen,james.stegen@pnnl.gov,EWEB
E432,44.143315,-122.368051,10.58052/IEPRS001Z,stream,Fern Creek,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_23772985; Flag_00,James Stegen,james.stegen@pnnl.gov,EWEB
E440,44.125267,-122.529883,10.58052/IEPRS001S,stream,Marten Creek,23772889,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E543,44.209191,-122.25725,10.58052/IEPRS0020,stream,Lookout Creek,23773411,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
E547,44.160261,-122.334339,10.58052/IEPRS001T,stream,Simmonds Creek,23773463,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,EWEB
EAS-ALM,38.6644,-106.8475,10.58052/IEWDR00X8,stream,East River at Almont,1333418,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
EAS-BRA,38.9857545,-107.0027911,10.58052/IEWDR00X9,stream,Bradley Creek tributary  of East River,1332190,TRUE,United States,COMID_Analysis_00; COMID_02; COMID_04,James Stegen,james.stegen@pnnl.gov,WROL
EAS-PUM,38.9225691,-106.9508935,10.58052/IEWDR00XA,stream,East River pump house,1332754,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
EAS-ROC,38.9826927,-107.0051498,10.58052/IEWDR00XB,stream,Rock Creek tributary of East River,1332198,FALSE,United States,COMID_Analysis_00; COMID_06; RawCOMID_1332194; Flag_00,James Stegen,james.stegen@pnnl.gov,WROL
EAS-RUS,38.9905473,-107.0065371,10.58052/IEWDR00XC,stream,Rustlers Creek tributary of East River,1332186,TRUE,United States,COMID_Analysis_00; COMID_02; COMID_04,James Stegen,james.stegen@pnnl.gov,WROL
East Fork Poplar Creek (Wastewater driven),35.966194,-84.358442,10.58052/IEWDR028C,stream,East Fork Poplar Creek,22125640,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,48hr
G01,46.730815,-120.94124,10.58052/IEPRS01ED,Groundwater spring,N/A,-9999,N/A,United States,FLAG_01,James Stegen,james.stegen@pnnl.gov,PRT
G02,46.727441,-120.811664,10.58052/IEPRS01EE,Groundwater well,N/A,-9999,N/A,United States,FLAG_01,James Stegen,james.stegen@pnnl.gov,PRT
GUN-GRJ,38.9833,-108.45,10.58052/IEWDR00XD,stream,Gunnison River near Grand Junction,3232569,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
GUN-GUN,38.529203,-106.956087,10.58052/IEWDR00XE,stream,Gunnison River near Gunnison,3252665,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
GUN-R32,38.5172,-106.9956,10.58052/IEWDR00XF,stream,Gunnison River at Road 32,3252693,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
GUN-TUN,38.5292,-107.6483,10.58052/IEWDR00XG,stream,Gunnison River below Gunnison Tunnel,3252173,TRUE,United States,COMID_Analysis_00; COMID_02; COMID_05,James Stegen,james.stegen@pnnl.gov,WROL
"HJ Andrews, OR (Evapotranspiration driven)",44.206532,-122.256641,10.58052/IEWDR028A,stream,HJ Andrews,-9999,N/A,United States,COMID_Analysis_01; COMID_07,James Stegen,james.stegen@pnnl.gov,48hr
HJA-WS1,44.208517,-122.256831,10.58052/IEWDR00XH,stream,HJ Andrews watershed 1,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_23773411; Flag_00,James Stegen,james.stegen@pnnl.gov,WROL
HJA-WS2,44.213385,-122.243976,10.58052/IEWDR00XI,stream,HJ Andrews watershed 2,-9999,N/A,United States,COMID_Analysis_00; COMID_07; RawCOMID_23773411; Flag_00,James Stegen,james.stegen@pnnl.gov,WROL
HOPB,42.47168,-72.33038,10.58052/IEWDR01U6,stream,Hop Brook,7690025,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
IRQ1,44.5815,-75.679,10.58052/IEWDR01AW,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
IRQ1.5,44.736,-75.4524,10.58052/IEWDR01B0,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
IRQ2,44.8203,-75.314,10.58052/IEWDR01B1,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LDS-LAP,43.6892,-121.503,10.58052/IEWDR00XJ,stream,Little Deschutes River near La Pine,23706200,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
LEC-PR,29.542087,-98.631869,10.58052/IEWDR022A,stream,Leon Creek,10835090,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
LEC-RRP,29.631969,-98.609359,10.58052/IEWDR0227,stream,Leon Creek,10834984,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
LEC-VTH,29.59201,-98.60486,10.58052/IEWDR0225,stream,Leon Creek,10835044,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
LOO-BLU,44.2097,-122.257,10.58052/IEWDR00XK,stream,Lookout Creek near Blue River,23773411,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
LSF1,45.2255,-74.2521,10.58052/IEWDR01BA,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSF2,45.2083,-74.2327,10.58052/IEWDR01BC,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSF24,45.0378,-74.5253,10.58052/IEWDR01BH,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSF25,45.1262,-74.4916,10.58052/IEWDR01BJ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSF26,45.181,-74.3737,10.58052/IEWDR01BK,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSF3,45.189,-74.2141,10.58052/IEWDR01BB,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSF3.5,45.3461,-73.9723,10.58052/IEWDR01AK,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL1,45.4095,-73.8706,10.58052/IEWDR01BL,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL13,44.8976,-75.17,10.58052/IEWDR01AY,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL14,44.9908,-74.9473,10.58052/IEWDR01B8,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL15,45.0099,-74.9389,10.58052/IEWDR01B9,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL16,45.0138,-74.89,10.58052/IEWDR01B5,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL17,45.0261,-74.8901,10.58052/IEWDR01B2,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL18,45.0189,-74.8569,10.58052/IEWDR01B6,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL2,45.3954,-73.843,10.58052/IEWDR01BM,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSL3,45.3816,-73.807,10.58052/IEWDR01BN,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSPA1,46.2663,-72.7154,10.58052/IEWDR01CI,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSPA3,46.2638,-72.6952,10.58052/IEWDR01CJ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSPA4,46.2453,-72.6776,10.58052/IEWDR01CK,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSPM1,46.226,-72.8541,10.58052/IEWDR01CF,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSPM2,46.2033,-72.8251,10.58052/IEWDR01CH,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
LSPM3,46.1841,-72.8066,10.58052/IEWDR01CG,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
M01,46.7237694,-120.8146,10.58052/IEPRS00ZX,stream,Oak Creek,24423655,TRUE,United States,COMID_Analysis_01; COMID_00,James Stegen,james.stegen@pnnl.gov,PRT
M01A,46.7284,-120.8099,10.58052/IEPRS01EC,Open field,N/A,-9999,N/A,United States,FLAG_01,James Stegen,james.stegen@pnnl.gov,PRT
M02,46.729449,-120.936802,10.58052/IEPRS00ZU,stream,Oak Creek,24423673,TRUE,United States,COMID_Analysis_01; COMID_00,James Stegen,james.stegen@pnnl.gov,PRT
M03,46.716332,-121.00993,10.58052/IEPRS00ZV,stream,Oak Creek,24423679,TRUE,United States,COMID_Analysis_01; COMID_00,James Stegen,james.stegen@pnnl.gov,PRT
MART,45.792488,-121.92897,10.58052/IEWDR01U7,stream,Martha Creek,24505800,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MASS1,47.2429,-70.5521,10.58052/IEWDR01D1,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
MAYF,32.96156,-87.40832,10.58052/IEWDR01U8,stream,Mayfield Creek,18208464,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MCK-WAL,44.06957,-122.772306,10.58052/IEWDR00XL,stream,McKenzie River near Walterville,23772801,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
MEDC,29.390361,-98.667079,10.58052/IEWDR022B,stream,Medio Creek,10835992,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
MENC,29.775353,-98.709637,10.58052/IEWDR0226,stream,Menger Creek,7851009,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
MP-100019,43.1798044,-70.8911464,10.58052/IEWDR01XN,stream,Bellamy River,5844986,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100020,43.0881,-71.2346,10.58052/IEWDR01KH,stream,Lamprey River,5848094,TRUE,United States,COMID_Analysis_01; COMID_02; COMID_04,James Stegen,james.stegen@pnnl.gov,CM
MP-100021,43.0795,-71.0359,10.58052/IEWDR01KI,stream,North River,5848106,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100057,41.5236,-72.2067,10.58052/IEWDR01KJ,stream,Yantic River,-9999,N/A,United States,COMID_Analysis_01; COMID_07; RawCOMID_6168502; Flag_00,James Stegen,james.stegen@pnnl.gov,CM
MP-100068,43.71559,-72.41875,10.58052/IEWDR01UD,stream,White River,6084503,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100166,42.7231,-73.1978,10.58052/IEWDR01KK,stream,Hoosic River,22290173,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100167,42.7638,-73.3372,10.58052/IEWDR01KL,stream,Little Hoosic River,22290155,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100201,42.5055,-73.5062,10.58052/IEWDR01KM,stream,Kinderhook Creek,6186124,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100379,39.96766,-75.185,10.58052/IEWDR01UL,stream,Schuylkill River,4784831,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100598,38.7819,-77.3884,10.58052/IEWDR01KN,stream,Pope's Head Creek,22339187,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-100607,37.41459,-78.63541,10.58052/IEWDR01Y1,stream,Holiday Creek,8611825,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100656,35.3668,-77.4403,10.58052/IEWDR01KO,stream,Contentnea Creek,11574664,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100667,34.220658,-79.543785,10.58052/IEWDR01XZ,stream,Great Pee Dee River,9175254,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100670,33.6666,-79.8467,10.58052/IEWDR01KQ,stream,Black River,9090922,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100747,31.669166,-81.830278,10.58052/IEWDR01UO,stream,Altamaha,14347322,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100749,31.426667,-81.606667,10.58052/IEWDR01UP,stream,Altamaha,14353056,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100785,26.72027,-81.64963,10.58052/IEWDR01UM,stream,Caloosahatchee River,10247687,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100819,29.953092,-82.927775,10.58052/IEWDR01UI,stream,Suwannee River,2232693,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100981,30.423663,-85.032366,10.58052/IEWDR01XK,stream,Apalachicola River,2297254,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-100984,29.945472,-85.013591,10.58052/IEWDR01XL,stream,Apalachicola River,2298964,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
